Date,Close,High,Low,Open,Volume,Stock_Type
,GOOG,GOOG,GOOG,GOOG,GOOG,
2022-01-03,144.55508422851562,145.02889140826645,142.98872144982653,143.95822979703283,25214000,GOOG
2022-01-04,143.8994598388672,146.08510332379365,143.30125219857842,145.02940253580405,22928000,GOOG
2022-01-05,137.16067504882812,143.78138707716036,137.03113561072124,143.66480158286416,49642000,GOOG
2022-01-06,137.05853271484375,139.18589868612224,136.27386125678404,137.00522693228726,29050000,GOOG
2022-01-07,136.5139923095703,137.75976027577275,135.30284421325464,137.41126574890635,19408000,GOOG
2022-01-10,138.077880859375,138.14363884864215,132.6638317499777,134.6153160131959,34096000,GOOG
2022-01-11,139.51622009277344,139.82709956288852,136.32369607964898,137.68579120799058,23502000,GOOG
2022-01-12,141.14085388183594,142.30293809752862,140.60677741851381,141.04769800485315,23642000,GOOG
2022-01-13,138.63287353515625,142.67286180728954,138.41665519219606,141.3326760215805,26566000,GOOG
2022-01-14,139.28604125976562,140.69498037584273,137.0077282642772,137.0077282642772,23826000,GOOG
2022-01-18,135.8025360107422,136.8995920330835,135.13145488380573,136.11093715213462,27382000,GOOG
2022-01-19,135.16632080078125,137.90399675539874,135.01487217956986,136.4482290027887,20796000,GOOG
2022-01-20,133.0285186767578,137.4182483640507,132.6678152000163,136.02525848731904,21930000,GOOG
2022-01-21,129.62623596191406,134.27802445524964,129.53557356128078,132.53577986551807,41920000,GOOG
2022-01-24,129.9052276611328,130.31028164895292,124.19570122735945,125.57628443579866,55148000,GOOG
2022-01-25,126.28175354003906,128.87543862547213,125.92553529889075,127.97567170016946,36008000,GOOG
2022-01-26,128.7772979736328,132.33201520362402,126.698266032751,130.12494903764392,39630000,GOOG
2022-01-27,128.65872192382812,132.13518337823365,128.483357149345,130.89069252328375,30248000,GOOG
2022-01-28,132.81228637695312,132.89299004637857,128.23373671541663,129.5345588414588,30518000,GOOG
2022-01-31,135.21266174316406,135.35714685843277,131.8004229291556,133.71753043934658,34056000,GOOG
2022-02-01,137.38485717773438,137.7052088088739,134.0864669138802,137.34152532444782,51204000,GOOG
2022-02-02,147.50650024414062,151.55545919719393,145.03637164264893,151.31979472184477,89750000,GOOG
2022-02-03,142.13978576660156,148.58384098347807,141.69588510688274,144.7748187620759,56930000,GOOG
2022-02-04,142.50396728515625,144.01776928929087,139.316917270586,142.50495555543466,49224000,GOOG
2022-02-07,138.44058227539062,143.3315020922446,138.20243951655232,143.19449740604833,44610000,GOOG
2022-02-08,138.71456909179688,139.33643434081728,136.3829507108703,138.49362227390085,34256000,GOOG
2022-02-09,140.9465789794922,141.66649596510112,139.8744272144619,140.3454825058692,28628000,GOOG
2022-02-10,138.1062774658203,140.9246574968021,137.55576522180007,139.0005709833034,33018000,GOOG
2022-02-11,133.64979553222656,138.7845900176904,132.81130131928032,138.25325024253885,38808000,GOOG
2022-02-14,134.81561279296875,135.67901147034578,132.82476477820438,132.88802929114863,26792000,GOOG
2022-02-15,135.93707275390625,137.40628106413632,135.05424325091025,136.97931786594233,26578000,GOOG
2022-02-16,136.99525451660156,137.45210905002415,134.34094305707512,135.94203209782992,25610000,GOOG
2022-02-17,131.83480834960938,136.34957699668786,131.72868331835218,135.66254665465073,30968000,GOOG
2022-02-18,130.00039672851562,133.3448860526747,129.84052499373334,132.56120286697626,31858000,GOOG
2022-02-22,128.93919372558594,131.42850964645913,127.28364340375532,129.51961244514993,38906000,GOOG
2022-02-23,127.12821197509766,131.27729764170886,127.04700656362324,130.60921170544276,26432000,GOOG
2022-02-24,132.198486328125,132.5606949977913,124.31781364241006,124.55246702373462,43166000,GOOG
2022-02-25,134.03790283203125,134.9042967165804,131.29326297444084,133.04745820158786,26236000,GOOG
2022-02-28,134.40806579589844,135.15487888700568,132.34971153202522,132.807311108626,29676000,GOOG
2022-03-01,133.68765258789062,135.62368947087188,132.90097415946244,133.99853204182602,24640000,GOOG
2022-03-02,134.26905822753906,135.12996335459587,132.95478026640944,134.12632157754155,23966000,GOOG
2022-03-03,133.8271484375,136.22434264767352,132.95328937232006,135.49166940727412,19780000,GOOG
2022-03-04,131.6489715576172,133.71854656188182,129.94160524814606,132.9049719802422,24446000,GOOG
