Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,RSI,EMA_12,EMA_26,MACD,Signal_Line,20_SMA,Upper_Band,Lower_Band,MA5,MA20,Price Change,Pct Change,Stock_Type
2024-11-29 00:00:00-05:00,234.8099975585937,237.8099975585937,233.97000122070312,237.3300018310547,28481400,0.0,0.0,,237.3300018310547,,237.3300018310547,237.3300018310547,0.0,0.0,,,,237.3300018310547,237.3300018310547,0.0,0.0,AAPL
2024-12-02 00:00:00-05:00,237.2700042724609,240.7899932861328,237.16000366210932,239.58999633789065,48137100,0.0,0.0,,237.5452394031343,,237.67769329364484,237.49740883156107,0.1802844620837618,0.0360568924167523,,,,239.58999633789065,239.58999633789065,2.259994506835966,0.9522582435425696,AAPL
2024-12-03 00:00:00-05:00,239.8099975585937,242.759994506836,238.8999938964844,242.6499938964844,38861000,0.0,0.0,,238.03140649773908,,238.4426626171586,237.8790817993332,0.5635808178254251,0.1415616774984869,,,,242.6499938964844,242.6499938964844,3.05999755859375,1.277180852859261,AAPL
2024-12-04 00:00:00-05:00,242.8699951171875,244.1100006103516,241.25,243.009994506836,44383900,0.0,0.0,,238.5055577367007,,239.1453290617244,238.25914940729635,0.8861796544279912,0.2904852728843878,,,,243.009994506836,243.009994506836,0.3600006103515625,0.1483620933059315,AAPL
2024-12-05 00:00:00-05:00,243.9900054931641,244.5399932861328,242.1300048828125,243.0399932861328,40033900,0.0,0.0,,238.9374087414085,,239.74450817317185,238.61328599091385,1.1312221822579716,0.4586326547591045,,,,241.12399597167968,243.0399932861328,0.0299987792968465,0.0123446689333617,AAPL
2024-12-06 00:00:00-05:00,242.91000366210932,244.6300048828125,242.0800018310547,242.83999633789065,36870600,0.0,0.0,,239.3090837505973,,240.2207371215901,238.92637564624548,1.2943614753446298,0.6257784188762097,,,,242.2259948730469,242.83999633789065,-0.199996948242159,-0.0822897275209788,AAPL
2024-12-09 00:00:00-05:00,241.8300018310547,247.2400054931641,241.75,246.75,44649200,0.0,0.0,,240.0177424410166,,241.225239102884,239.5059033761532,1.7193357267307476,0.8444898804471173,,,,243.6579956054688,246.75,3.9100036621093466,1.6101151873964437,AAPL
2024-12-10 00:00:00-05:00,246.88999938964844,248.2100067138672,245.33999633789065,247.7700042724609,36914800,0.0,0.0,,240.75605309163035,,242.23212605204964,240.118058998102,2.114067053947707,1.0984053151472353,,,,244.68199768066407,247.7700042724609,1.020004272460909,0.4133755916761572,AAPL
2024-12-11 00:00:00-05:00,247.9600067138672,250.8000030517578,246.259994506836,246.4900054931641,45205800,0.0,0.0,,241.3021437965384,,242.8871844276057,240.5900550347732,2.2971293928324883,1.338150130684286,,,,245.37799987792968,246.4900054931641,-1.2799987792968182,-0.5166076430661359,AAPL
2024-12-12 00:00:00-05:00,246.88999938964844,248.7400054931641,245.67999267578125,247.9600067138672,32777500,0.0,0.0,,241.93622597914108,,243.66761862549208,241.13597738137275,2.531641244119328,1.5768483533712945,,,,246.36200256347652,247.9600067138672,1.4700012207030966,0.5963735599591624,AAPL
2024-12-13 00:00:00-05:00,247.82000732421875,249.2899932861328,246.2400054931641,248.1300048828125,33155300,0.0,0.0,,242.52610968425265,,244.3541395881568,241.6540534925905,2.700086095566263,1.8014959018102883,,,,247.42000427246091,248.1300048828125,0.1699981689453125,0.0685587047678515,AAPL
2024-12-16 00:00:00-05:00,247.9900054931641,251.3800048828125,247.6499938964844,251.0399932861328,51694800,0.0,0.0,,243.33695574157457,,245.38273246476848,242.34930829211217,3.0334241726563107,2.047881555979493,,,,248.2780029296875,251.0399932861328,2.9099884033203125,1.1727676403724852,AAPL
2024-12-17 00:00:00-05:00,250.0800018310547,253.8300018310547,249.77999877929688,253.47999572753903,51356400,0.0,0.0,,244.30295954976168,,246.6284652744255,243.17380365769927,3.454661616726156,2.3292375681288258,,,,249.4200012207031,253.47999572753903,2.4400024414062216,0.9719576588042456,AAPL
2024-12-18 00:00:00-05:00,252.16000366210932,254.27999877929688,247.7400054931641,248.0500030517578,56774100,0.0,0.0,,244.65982083566607,71.84191283455579,246.8471633940151,243.5350036128148,3.3121597812003074,2.525822010743122,,,,249.73200073242188,248.0500030517578,-5.429992675781222,-2.1421779893107677,AAPL
2024-12-19 00:00:00-05:00,247.5,252.0,247.08999633789065,249.7899932861328,60882300,0.0,0.0,,245.14840868809148,73.70625285957485,247.29990645434088,243.9983361812087,3.301570273132171,2.680971663220932,,,,250.097998046875,249.7899932861328,1.739990234375,0.7014675319362729,AAPL
2024-12-20 00:00:00-05:00,248.0399932861328,255.0,245.69000244140625,254.4900054931641,147495300,0.0,0.0,,246.0380845742889,75.94014003877392,248.4060755372368,244.7754968709832,3.6305786662535695,2.8708930638274595,,,,251.3699981689453,254.4900054931641,4.700012207031278,1.8815854651340835,AAPL
2024-12-23 00:00:00-05:00,254.7700042724609,255.6499938964844,253.4499969482422,255.2700042724609,40858800,0.0,0.0,,246.91731502173383,73.86538671295861,249.46206457342507,245.5528677896112,3.9091967838139112,3.0785538078247496,,,,252.21600036621092,255.2700042724609,0.7799987792968182,0.3064948573462844,AAPL
2024-12-24 00:00:00-05:00,255.4900054931641,258.2099914550781,255.2899932861328,258.20001220703125,23234700,0.0,0.0,,247.9918576108098,76.18066283434823,250.8063642093645,246.48969330201265,4.316670907351806,3.3261772277301613,,,,253.16000366210935,258.20001220703125,2.930007934570341,1.1478073747525075,AAPL
