Tweet,Author ID,Date,cleaned_text,sentiment
"$ROP $AFL $BK 🌕 $ONEI ripping! $1.15 close, vol flying🔥 Shorts sweating—ATH $1.39 toast soon w/ breakout brewing! 🚀 LET’S GOOOO!

$UNP $AAPL $ATGE #shailenzo #ZenlessZoneZero #BBK11 #WWERaw https://t.co/RaKklQeuE5 https://t.co/GMKVzrogsJ",1723310981239980032,2024-12-30 10:58:09+00:00,rop afl bk onei ripping 115 close vol flying short sweatingath 139 toast soon w breakout brewing let goooo unp aapl atge,0.0
"☛☛☛https://t.co/WUfz59GZw8

More member profits. Stay patient and the let the trade play out 
$SPY $RIOT $MARA $ROKU $PDT $AAPL https://t.co/ueGkM5c3ji",1838722759297503236,2024-12-30 10:57:38+00:00,member profit stay patient let trade play spy riot mara roku pdt aapl,0.1779
"📢 𝐉𝐔𝐒𝐓 𝐈𝐍: Huawei Cuts Smartphone Prices by Up to 20% Amid Intense Market Competition - $AAPL 

https://t.co/lkmh4gbxTC",1717106926725820416,2024-12-30 10:57:36+00:00,huawei cut smartphone price 20 amid intense market competition aapl,-0.2023
"Entries &amp; exits Daily! 
Discord link below 📊💰
https://t.co/WUfz59GZw8
👆
📑
$ABNB $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPY $BOXL $AAPL $MU $BNGO https://t.co/4wpFW3rZyX",1838722759297503236,2024-12-30 10:55:58+00:00,entry amp exit daily discord link abnb spy solo w jagx ino byfc tsla spy boxl aapl mu bngo,-0.4019
"Good morning $aapl fans 🍏🌞

Found a nice relic from ‘The Silo’ yesterday. https://t.co/CqtgvUkgBO",1597713129726672897,2024-12-30 10:55:20+00:00,good morning aapl fan found nice relic silo yesterday,0.7906
"Hi everyone, Make big profits with us 
https://t.co/WUfz59GZw8

$STNG $GOLD $RCL $AAL $NET $AAPL $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX https://t.co/v56LddrCTH",1838722759297503236,2024-12-30 10:54:43+00:00,hi everyone make big profit u stng gold rcl aal net aapl qqq amzn nvda ba tsla baba amd aapl nflx,0.4404
"Link below to join our free stock chatroom!

https://t.co/SgB2mRPMUb

$AMZN $AAPL $AMD $FB $BOXL $BA $PFE $MCD $UPS $MMM $SINT $SOLO https://t.co/9CVwqJXAYE",1570656477282709505,2024-12-30 10:54:03+00:00,link join free stock chatroom amzn aapl amd fb boxl ba pfe mcd ups mmm sint solo,0.6705
"Master Trading Skills While Working From Home!

  https://t.co/SgB2mRPMUb

$AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA $EPR $WYND $LIVN $BBU $SPR $APLE $PK $M $CUK $CAR $CPA $EHTH $SHOO $CORT $EPZM https://t.co/sTzrF87CTa",1570656477282709505,2024-12-30 10:53:28+00:00,master trading skill working home aapl amzn btc eth fb goog msft qqq spy tsla epr wynd livn bbu spr aple pk cuk car cpa ehth shoo cort epzm,0.0
"Join the most profitable trading alerts chatroom

https://t.co/WUfz59GZw8

$SPX $SPY $AMZN $AAPL $AMD $FB $SHOP $BYND $NVDA $GOOGL $MSFT $TSLA https://t.co/uXYJm9LiZw",1838722759297503236,2024-12-30 10:52:48+00:00,join profitable trading alert chatroom spx spy amzn aapl amd fb shop bynd nvda googl msft tsla,0.743
"🔶 Today saw a mix of gains and losses.

✅ However, it's rewarding that most, if not all, of our group were on the winning side! 💪
https://t.co/SgB2mRPMUb

🚀 Join us for more success! 
$AAPL $NIO $SPY $WMT $FB $PT $PTON $GME $TSLA $MVIS $BABA https://t.co/DJLUDesvt5",1570656477282709505,2024-12-30 10:52:21+00:00,today saw mix gain loss however rewarding group winning side join u success aapl nio spy wmt fb pt pton gme tsla mvis baba,0.93
