Author,Date,cleaned_text,sentiment
1838722759297503236,2024-12-30 10:45:04+00:00,best stock trade group free chatroom link amzn amc spy qqq ath ccl amd aapl msfy ba,0.8176
1838722759297503236,2024-12-30 10:44:26+00:00,80k people join discord group cgm apt jakk dynt spv lmnd spy boxl aapl ayro bngo phun,-0.128
1838722759297503236,2024-12-30 10:43:52+00:00,check subscriber alert discord baba jfk cemi spy shop amzn nvda roku ebay amd tsla aapl,-0.128
1664957798629920769,2024-12-30 10:43:09+00:00,aapl set ready run,0.3612
126792470,2024-12-30 10:42:58+00:00,entry amp exit free chatroom link spy tsla solo bioc abus gnu royt aim aapl,0.5106
1838722759297503236,2024-12-30 10:42:44+00:00,check discord group trading chatroomcommunity edsa kodk dow gnu idex bsbs tsla taop jfk cemi spy shop amzn nvda roku ebay amd aapl,-0.4019
74408465,2024-12-30 10:42:29+00:00,caut1on inauguration day stock index pump1ng detected qqq iwm nvda tsla aapl msft,0.0
126792470,2024-12-30 10:41:40+00:00,alert update watchlist discord aal nakd dynt spy boxl aapl ayro achv abus tlry,-0.128
126792470,2024-12-30 10:40:37+00:00,kndi sq spy nflx dis ibio hpty nio nkla aapl alert spike right big news drop free discord chatroom,0.1779
126792470,2024-12-30 10:40:04+00:00,free stock trading discord ge aal dis dal aapl msft tsla sq nflx spy roku spce ino uvxy vxx rad,0.1531
1838722759297503236,2024-12-30 10:39:55+00:00,entry amp exit daily discord link solo w jagx ino byfc tsla spy boxl aapl ayro bngo phun,-0.4019
126792470,2024-12-30 10:39:27+00:00,alert given trading chat discord join free spy qqq amzn nvda ba tsla baba amd aapl nflx twtr aal,0.6124
1838722759297503236,2024-12-30 10:39:14+00:00,cemi spy tsla shop amzn nvda roku ebay amd bb dal dow kodk aapl ese spce fcel trip bynd profitable trading community,0.4404
107379959,2024-12-30 10:38:38+00:00,aapl gtgtgt iphone 16,0.0
126792470,2024-12-30 10:38:08+00:00,alert update watchlist discord chatroom stock optionsforex aal nakd dynt ino gnu uavs ino byfc tsla spy boxl aapl ayro achv,-0.128
126792470,2024-12-30 10:35:45+00:00,dsa kodk dow tsla shop amzn nvda roku ebay amd bb dal dow kodk aapl ese gmbl meta option alert 90 success rate,0.7096
1838722759297503236,2024-12-30 10:34:54+00:00,bast stock group discord byfc tsla spy boxl aapl ayro bngo phun kodk,-0.4019
1838722759297503236,2024-12-30 10:33:41+00:00,learn trading get alert idea update analysis amd nvda tsla ndx spy aapl baba nflx roku ba cost mcd,0.296
126792470,2024-12-30 10:33:40+00:00,join profitable trading group goog aapl spy amzn tdoc tsla cost ba nflx nvda,0.6249
1844556279408390144,2024-12-30 10:33:24+00:00,aapl go,0.0
1701830647458021376,2024-12-30 10:33:17+00:00,aapl set ready run,0.3612
1838722759297503236,2024-12-30 10:32:56+00:00,discord better executive trading chat room tsla rock uavs cetx dgly tsla spy amaz aapl er fb bb fl de zm,0.0516
126792470,2024-12-30 10:32:35+00:00,cemi spy tsla shop amzn nvda roku ebay amd bb dal dow kodk aapl ese spce fcel trip bynd profitable trading community,0.4404
1838722759297503236,2024-12-30 10:32:12+00:00,spy qqq dis tsla shop amd aapl sq amzn gld vxx msft thanks discord group trader join,0.34
15296897,2024-12-30 10:31:30+00:00,aapl ssnlf siuif huawei slash price several highend device report,-0.2732
126792470,2024-12-30 10:31:12+00:00,top chatroom join free amp premium service spx spy amzn aapl amd fb shop bynd nvda googl msft tsla,0.743
1838722759297503236,2024-12-30 10:30:00+00:00,couple stats quote week ahead join discord esf nqf ymf spy spx qqq tlt fb amzn aapl nvda nflx googl tsla xlk xle xlf,-0.128
1813191458314207232,2024-12-30 10:29:54+00:00,23 december investor gravitated towards megacap technology stock collectively known batmmaan broadcom nvidia tsla amazon msft meta aapl goog company significantly contributed sampp 500 market capitalization increase,0.4588
126792470,2024-12-30 10:29:46+00:00,spy qqq dis tsla shop amd aapl sq amzn gld vxx msft thanks discord group trader join,0.34
1838722759297503236,2024-12-30 10:29:22+00:00,alert update watchlist discord chatroom stock optionsforex aal nakd dynt ino gnu uavs ino byfc tsla spy boxl aapl ayro achv,-0.128
126792470,2024-12-30 10:29:10+00:00,80k people join discord group cgm apt jakk dynt spv lmnd spy boxl aapl ayro bngo phun,-0.128
