platform,created_at,text,cleaned_text
Twitter,2024-12-27 06:04:06+00:00,"Power Mech Projects surges on securing order worth Rs 186 crore

https://t.co/aVPboV4osv

#StockMarket #PowerSector #StockOnTheMove #PowerMechProjectsLtd #Investmentguruindia https://t.co/KdNzxno1bU",power mech projects surges securing order worth rs crore stockmarket powersector stockonthemove powermechprojectsltd investmentguruindia
Twitter,2024-12-27 06:03:57+00:00,"RT @pardeep5889: 🚀🔥Next Multi-bagger 2x GEM stock🔥🚀
 
✍️CMP Near 250 &gt;&gt;My target&gt;500++🎯

6 months +holding period✍️

DO&gt; #Repost  +Comment…",rt next multibagger x gem stock cmp near gtgtmy targetgt months holding period dogt repost comment
Twitter,2024-12-27 06:03:23+00:00,"2025 के लिए @KotakMF के MD, नीलेश शाह का आउटलुक
नए साल में कहां बनेंगे कमाई के मौके?
किस सेक्टर में अब वैल्युएशन आकर्षक?
#MutualFunds निवेशक अभी क्या करें?
2025 में किस थीम पर रहेगा खास फोकस?

#Outlook2025 #StockMarket #Nifty50 @dkalra81 @davemansi145 @Ashesha_A @NileshShah68 https://t.co/8bUfBhAMd6",md mutualfunds outlook stockmarket nifty
Twitter,2024-12-27 06:03:12+00:00,"3: #CaprolactamChemicals

Note: ""The securities quoted are for illustration only and are not recommendatory""

#stockmarketcrash #StockMarketIndia #StockMarketUpdate #StockMarket #StocksInFocus #stocks #GIFTNIFTY https://t.co/BsgfJLZgXG",caprolactamchemicals note securities quoted illustration recommendatory stockmarketcrash stockmarketindia stockmarketupdate stockmarket stocksinfocus stocks giftnifty
Twitter,2024-12-27 06:02:39+00:00,"The Nifty Defence Index is up by 56% this year. It highlights India’s evolving defence landscape, tracking key stocks weighted by their free-float market capitalisation.

Explore the driving forces behind this sector’s growth.

#NiftyDefence #DefenceSector #StockMarket #Investing… https://t.co/wrUEHjnGLJ https://t.co/HigHPjdv1n",nifty defence index year highlights indias evolving defence landscape tracking key stocks weighted freefloat market capitalisation explore driving forces behind sectors growth niftydefence defencesector stockmarket investing
Twitter,2024-12-27 06:02:39+00:00,"2: #ChavdaInfra 

Note: ""The securities quoted are for illustration only and are not recommendatory""

#stockmarketcrash #StockMarketIndia #StockMarketUpdate #StockMarket #StocksInFocus #stocks #GIFTNIFTY https://t.co/SHPC2PtBvK",chavdainfra note securities quoted illustration recommendatory stockmarketcrash stockmarketindia stockmarketupdate stockmarket stocksinfocus stocks giftnifty
Twitter,2024-12-27 06:02:19+00:00,"IPO GMP Today: आज के ग्रे मार्केट प्रीमियम की पूरी जानकारी
https://t.co/w3YHBO8CM6
#IPO #GMP #StockMarketUpdate #StockMarket #UpcomingIPO #sharemarketindia #Finances #NSE #BSE #IPOUpdate #indianstocks #IPOGMPToday #ipoallotment #investments #IPOAlert https://t.co/K2e5bDFe8t",ipo gmp today ipo gmp stockmarketupdate stockmarket upcomingipo sharemarketindia finances nse bse ipoupdate indianstocks ipogmptoday ipoallotment investments ipoalert
Twitter,2024-12-27 06:02:19+00:00,"#stockmarket Premier Chatroom

https://t.co/oDTL2fl58m

$CRKN $FFIE $GWAV $BRSH  $SCPX $NBY $SINT $MMV $SLNA $AAPL $TSLA $AMZN https://t.co/dAF5INLmsD",stockmarket premier chatroom crkn ffie gwav brsh scpx nby sint mmv slna aapl tsla amzn
Twitter,2024-12-27 06:02:03+00:00,"RT @INDmoneyApp: How do the 2 biggest Solar PV Manufacturers in India stack up against each other? Let's find out!

#wareeenergies #waree #…",rt biggest solar pv manufacturers india stack lets find wareeenergies waree
Twitter,2024-12-27 06:01:59+00:00,"#Greavescotton
Monthly TF

Stock to watch💹

- Rounding base
- Poised for ATH breakout
- Highest ever volume

Telegram:📲 https://t.co/UA3XpeSxzB 

#stockstowatch #StocksToBuy #StockMarket #investing #Multibagger
@MicrocapsPraWin @kuttrapali26 @KommawarSwapnil @Abhi4Research… https://t.co/1gqNOiUV8A https://t.co/sFufxlad43",greavescotton monthly tf stock watch rounding base poised ath breakout highest ever volume telegram stockstowatch stockstobuy stockmarket investing multibagger
Twitter,2024-12-27 06:01:52+00:00,"RT @i2gain: #Nifty Daily Chart Update - 24 Dec 2024

Low volume, indecisive participants. Please refer to the chart for more details.

#Nif…",rt nifty daily chart update dec low volume indecisive participants please refer chart details nif
Twitter,2024-12-27 06:01:14+00:00,"RT @NSEIndia: What do you think the missing word in this week's #CompleteTheSentence is?

#NSE #NSEIndia #StockMarket #Completethesentence…",rt think missing word weeks completethesentence nse nseindia stockmarket completethesentence
Twitter,2024-12-27 06:00:52+00:00,"शेअर नव्हे, सोन्याची खाण; अवघ्या चार वर्षात रक्कम लाखोंच्याही पल्याड, पाडला पैशांचा वर्षाव

#StockMarketIndia #StockMarketUpdate #StockMarket #sharemarketindia #MultibaggerStock #StocksToWatch 

https://t.co/Nef3PaIBqq",stockmarketindia stockmarketupdate stockmarket sharemarketindia multibaggerstock stockstowatch
Twitter,2024-12-27 06:00:50+00:00,"📈 After 3 days of consolidation, Nifty is showing Upward Momentum. 📊

📌 The 200-day EMA is now acting as a strong Support Level.
📌 Immediate Resistance is around Level 24,000; a breakout above this could lead to a significant rally.

#nifty #stockmarket #technicalanalysis https://t.co/zz4u9RV6si",days consolidation nifty showing upward momentum day ema acting strong support level immediate resistance around level breakout could lead significant rally nifty stockmarket technicalanalysis
Twitter,2024-12-27 06:00:31+00:00,SoundHound AI's stock surged nearly 20% amid increased interest in AI technologies. #StockMarket #AI #SoundHound,soundhound ais stock surged nearly amid increased interest ai technologies stockmarket ai soundhound
Twitter,2024-12-27 06:00:20+00:00,"🚨 Limited Time Offer 🚨
💸 Want to make your money work for YOU in 2024? 💰
🔑 Get expert investment advice for just ₹6750/year (originally ₹7500)!
⏳ Hurry – offer expires tonight
✅ Secure your financial future NOW!
📲 DM me 

#StockMarketIndia #IPO #intraday #StockMarket",limited time offer want make money work get expert investment advice year originally hurry offer expires tonight secure financial future dm stockmarketindia ipo intraday stockmarket
Twitter,2024-12-27 06:00:11+00:00,"What do you think the missing word in this week's #CompleteTheSentence is?

#NSE #NSEIndia #StockMarket #Completethesentence #ShareMarket #InvestorProtection https://t.co/br6g5JJztM",think missing word weeks completethesentence nse nseindia stockmarket completethesentence sharemarket investorprotection
Twitter,2024-12-27 06:00:06+00:00,"Weekly Market Overview 
.
.
.
#naasasecurities #marketupdate #update #nepse #index #overview #sharemarket #sharebroker #brokerinnepal #dailyupdate #new #bestbroker  #nepal #paush #topbroker #learn #stockmarket
#demat #meroshare #tms58 https://t.co/vsAMqBzMVt",weekly market overview naasasecurities marketupdate update nepse index overview sharemarket sharebroker brokerinnepal dailyupdate new bestbroker nepal paush topbroker learn stockmarket demat meroshare tms
Twitter,2024-12-27 06:00:05+00:00,"https://t.co/VtcOAHYWtX
📈 Want to simplify stock trading? With my Python program powered by yfinance, you can track real-time price &amp; volume data and filter stocks based on your criteria. Automate your analysis smarter 💹
#Investing #StockMarket #TradingBot #Python https://t.co/zgSjdmDRn3",want simplify stock trading python program powered yfinance track realtime price amp volume data filter stocks based criteria automate analysis smarter investing stockmarket tradingbot python
Twitter,2024-12-27 06:00:01+00:00,"🚀 IPO Frenzy!
✨ Mamata Machinery makes a blockbuster debut with a 147% premium over IPO price! 💼 DAM Capital follows suit, trading at a solid 55% premium on BSE &amp; NSE.
Who could be next in the IPO spotlight?
#StockMarket #IPO #MamataMachinery #DAMCapital #Indiabullssecurities",ipo frenzy mamata machinery makes blockbuster debut premium ipo price dam capital follows suit trading solid premium bse amp nse could next ipo spotlight stockmarket ipo mamatamachinery damcapital indiabullssecurities
Twitter,2024-12-27 06:00:01+00:00,"#NewsParViews 

Transrail Lighting : NSE पर 36.6% के प्रीमियम पर लिस्टिंग

लिस्टिंग के बाद क्या है कंपनी का प्लान? 

FY26 के लिए क्या है आउटलुक? 

किस सेगमेंट पर कंपनी का खास फोकस? 

देखिए Transrail Lighting के  MD &amp; CEO, रणदीप नारंग से खास बातचीत

#StockMarket #TransrailLighting… https://t.co/xWwQJ38A3F https://t.co/3cqAOdzP3e",newsparviews transrail lighting nse fy transrail lighting md amp ceo stockmarket transraillighting
Twitter,2024-12-27 05:59:50+00:00,"#stockmarket Premier Chatroom

https://t.co/oDTL2fl58m

$CRKN $FFIE $GWAV $BRSH  $SCPX $NBY $SINT $MMV $SLNA $AAPL $TSLA $AMZN https://t.co/uncacuAhCa",stockmarket premier chatroom crkn ffie gwav brsh scpx nby sint mmv slna aapl tsla amzn
Twitter,2024-12-27 05:59:21+00:00,"Discover the 4 Key Stock Closing Details from the Previous Day with TradeCFD!
#stocks #shremarket #stockmarket #indexes #commodity https://t.co/6FEdB8Y0S4",discover key stock closing details previous day tradecfd stocks shremarket stockmarket indexes commodity
